Song,Saph,Sporky,OJ,evening,Baron,Shoober,Dan,timmyZert,Nico252,Jikan,kuna,Schyph,KuePasta,ert,RedlerRed7,Tommy,Ruby,Statsky,shirpless," Maladjusted Platypus",RC
wii-wii-woo,9,9.5,9,8,9.5,9,10,10,9.5,8,10,10,9.7,9,10,9.5,10,7,10,8.5,9
"TEMPLATE ",10,10,9,9,9.5,8.5,9.5,10,10,9,7.5,7.5,7.1,10,8,7.5,9,6,9.5,10,8
Michizure,8.5,9,9,8,9,7.5,5,7,7.5,8,9,11,6.2,9.5,9,9.1,9.5,8,9,6.5,0.5
Aseta Hanamidori,8,10,8,8,8.5,7,6.5,8.5,9,9,9,8.5,8.9,8.5,8.5,6.5,8,8.5,9,8.5,8.5
TRUE GIRL SHOW,9,8.5,7,7,8,9.5,3.5,8.5,8,7,8.5,7.5,9.8,9,7,5.5,8.5,9,10,5,4.5
My Happy Transmission,7,8.5,6,7,8,7.5,8,7.5,8,9,9.5,7.5,5.4,8.5,7,5.5,7,9.5,8,8,4.5
debutante ball,8.5,10,10,10,9.5,7,7.5,9.5,10,10,7,8.5,9.9,8.5,9,9.2,10,10,6,8.5,9.99999
7days,9,8,7,9,6,7.5,7,8,7.5,8,8,9,8.7,8.5,8,9.15,8.5,9.5,8,8,6
Damn Good Day,9.5,10,8,9,8,8,6,10,9,8,9.5,8.5,8.9,8,7,7.5,8,8,10,9,8
soiree,9,9,8,9,8,8,6.5,8,8.5,7,8.5,8.5,9.1,7,6,6.5,7.5,6.5,9,7,2.5
Newton,8.5,8,8,9,8,7,4,7,7,8,7.5,7.5,8.8,9,9,7,7.5,6,9,8,2
