Song,Saph,Sporky,OJ,evening,Baron,Shoober,Dan,timmyZert,Nico252,Jikan,kuna,Schyph,KuePasta,ert,RedlerRed7,Tommy,Ruby,Statsky
wii-wii-woo,9,9.5,9,8,9.5,9,9.5,10,9.5,8,10,10,9.7,9,10,9.5,10,7
TEMPLATE ,10,10,9,9,9.5,8.5,10,10,10,9,7.5,7.5,7.1,10,8,8,9,6
Michizure,8.5,9,9,8,9,7.5,6.5,7,7.5,8,9,10,6.2,9.5,9,9.1,9.5,8
Aseta Hanamidori,8,10,8,8,7,7,7.5,8.5,9,9,9,8.5,8.9,8.5,8.5,7,8,8.5
TRUE GIRL SHOW,9,8.5,7,7,8,9.5,7,8.5,8,7,8.5,7.5,9.8,9,7,6,8.5,9
My Happy Transmission,7,8.5,6,7,8,7.5,8.5,7.5,8,9,9.5,7.5,5.4,8.5,7,6.5,7,9.5
debutante ball,8.5,10,10,10,9.5,7,8,9.5,10,10,7,8.5,9.9,8.5,9,8.5,10,10
7days,9,8,7,9,7,7.5,8,8,7.5,8,8,9,8.4,8.5,8,7.5,8.5,9.5
Damn Good Day,9.5,10,8,9,7,8,7.5,10,9,8,9.5,8.5,8.7,8,7,7.5,8,8
soiree,9,9,8,9,8,8,7.5,8,8.5,7,8.5,8.5,9.2,7,6,7,7.5,6.5
Newton,8.5,8,8,9,9,7,7,7,7,8,7.5,7.5,9.68,9,9,8,7.5,6
